Instance,Optimal,Calculated,RelErr,Runtime, algo
small_8,9767.0,9767.0,0.0,0.07497096061706543,Approx
small_9,130.0,130.0,0.0,1.811981201171875e-05,Approx
small_10,1025.0,999.0,0.03,0.0032651424407958984,Approx
large_1,9147.0,9147.0,0.0,0.5903379917144775,BnB
large_2,11238.0,11238.0,0.0,5.07680606842041,BnB
large_3,28857.0,28857.0,0.0,212.2927212715149,BnB
large_4,54503.0,54503.0,0.0,3444.086438179016,BnB
large_5,110625.0,54503.0,0.51,3444.086438179016,BnB
large_6,276457.0,54503.0,0.8,3444.086438179016,BnB
large_7,563647.0,54503.0,0.9,3444.086438179016,BnB
large_8,1514.0,1514.0,0.0,0.658599853515625,BnB
large_9,1634.0,1634.0,0.0,5.050723075866699,BnB
large_10,4566.0,4566.0,0.0,365.0397906303406,BnB
large_11,9052.0,4566.0,0.5,365.0397906303406,BnB
large_12,18051.0,4566.0,0.75,365.0397906303406,BnB
large_13,44356.0,TLE,1,TLE,BnB
large_14,90204.0,TLE,1,TLE,BnB
large_15,2397.0,TLE,1,TLE,BnB
large_16,2697.0,TLE,1,TLE,BnB
large_17,7117.0,TLE,1,TLE,BnB
large_18,14390.0,TLE,1,TLE,BnB
large_19,28919.0,TLE,1,TLE,BnB
large_20,72505.0,TLE,1,TLE,BnB
large_21,146919.0,TLE,1,TLE,BnB
small_1,295.0,295.0,0.0,0.0010471343994140625,BnB
small_2,1024.0,1024.0,0.0,0.010531902313232422,BnB
small_3,35.0,35.0,0.0,8.392333984375e-05,BnB
small_4,23.0,23.0,0.0,3.600120544433594e-05,BnB
small_5,481.0694,481.069368,0.0,0.004795074462890625,BnB
small_6,52.0,52.0,0.0,0.0008399486541748047,BnB
small_7,107.0,107.0,0.0,0.00028014183044433594,BnB
small_8,9767.0,9767.0,0.0,27.452919721603394,BnB
small_9,130.0,130.0,0.0,0.00014209747314453125,BnB
small_10,1025.0,1025.0,0.0,0.010585784912109375,BnB
